id,address,name,latitude,longitude,googleMapsUri,websiteUri,type,district
ChIJ70BRdclXzpQRvaY4MlCj-kc,"R. Caraça, 215 - Vila Madalena, São Paulo",Escola de Educação Infantil Alto de Pinheiros,-23.5502871,-46.70187840000001,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce57c9755140ef:0x47faa3503238a6bd!10e5,http://www.escolaaltodepinheiros.com.br/,school,Alto de Pinheiros São Paulo
ChIJR_6deb5XzpQRxqMOg6IEoDI,"R. Carlos Rath, 277 - Alto de Pinheiros, São Paulo",Escola Hiboo - Alto de Pinheiros,-23.5602156,-46.7048632,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce57be799dfe47:0x32a004a2830ea3c6!10e5,http://www.hiboo.com.br/,school,Alto de Pinheiros São Paulo
ChIJA1vPTy9WzpQR21Gj3EuIYBs,"R. Pedralva, 290 - Alto de Pinheiros, São Paulo",BlueBe School Escola e Berçário Alto de Pinheiros,-23.543589,-46.7184472,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce562f4fcf5b03:0x1b60884bdca351db!10e5,http://www.bluebeschool.com.br/,school,Alto de Pinheiros São Paulo
ChIJ-Qhv0yhWzpQRjmb_iMpibfY,"Bloco 79 - Alto de Pinheiros, São Paulo",E.E. Emiliano Augusto Cavalcanti De Albuquerque E Melo,-23.543165,-46.7170448,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5628d36f08f9:0xf66d62ca88ff668e!10e5,http://instagram.com/escoladica,school,Alto de Pinheiros São Paulo
ChIJ1xJMKCZWzpQRrP2kV8Cm49c,"Avenida Padre Pereira de Andrade, 575, Av. Imperatriz Leopoldina, 1799 - Alto de Pinheiros, São Paulo",Maple Bear Alto de Pinheiros,-23.535865,-46.72618569999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5626284c12d7:0xd7e3a6c057a4fdac!10e5,https://maplebearpinheiros.com.br/,school,Alto de Pinheiros São Paulo
ChIJKcZCUdj5zpQRtZonJLfpPY8,"R. Antônio Raposo, 87 - Lapa, São Paulo",Escola Estadual Anhanguera,-23.5216935,-46.7057744,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94cef9d85142c629:0x8f3de9b724279ab5!10e5,https://www.instagram.com/escolaestadualanhanguera/,school,Anhanguera São Paulo
ChIJSaz6omZnzpQRUO8qNvHuJrM,"Av. Odilon Pires, 79 - Jardim Aricanduva, São Paulo",Colégio JD Aricanduva,-23.5665698,-46.5103811,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6766a2faac49:0xb326eef1362aef50!10e5,http://colegiojardimaricanduva.com.br/,school,Aricanduva São Paulo
ChIJpcaEmmVnzpQRei2zBbWfZk0,"Av. Francisco José Resende, 60 - Jardim Aricanduva, São Paulo",Escola de Educação Infantil Aricanduva Baby,-23.5685495,-46.5076289,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce67659a84c6a5:0x4d669fb505b32d7a!10e5,,school,Aricanduva São Paulo
ChIJI1NFj2lezpQRk3dduf1yBWk,"Rua Edgar de Sousa, 636 - Vila Aricanduva, São Paulo",Colégio Objetivo Vila Aricanduva,-23.5364898,-46.540719,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5e698f455323:0x690572fdb95d7793!10e5,,school,Aricanduva São Paulo
ChIJUTYidWVnzpQRZN54CiJkx1s,"Av. Odilon Pires, 160 - Jardim Aricanduva, São Paulo",Colégio chave do saber,-23.5661999,-46.5095774,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce676575223651:0x5bc764220a78de64!10e5,https://colegiochavedosaber.com.br/,school,Aricanduva São Paulo
ChIJxdjRwXBnzpQRKSELQ05-6-I,"Av. Rio das Pedras, 2367, 2377 - Jardim Aricanduva, São Paulo",Colégio Costa Aguiar,-23.573567099999998,-46.5050191,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6770c1d1d8c5:0xe2eb7e4e430b2129!10e5,http://www.colegiocostaaguiar.com.br/,school,Aricanduva São Paulo
ChIJbyRv-pNnzpQRfplZ-eYTEaQ,"Av. Rio das Pedras, 1215 - Jardim Aricanduva, São Paulo",Escola Microlins Aricanduva,-23.5655494,-46.5122881,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6793fa6f246f:0xa41113e6f959997e!10e5,,school,Aricanduva São Paulo
ChIJN2Px-gBnzpQRLBw5ZJ-1lyQ,"Rua Coronel Albert de Rochas D'Aiglum, 50 - Vila Aricanduva, São Paulo",EMEF José Querino Ribeiro,-23.5691435,-46.4812641,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6700faf16337:0x2497b59f64391c2c!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=019143,school,Aricanduva São Paulo
ChIJlbbxkFVQzpQRli8DxljtNEs,"Av. Mário Lopes Leão, 120 - Santo Amaro, São Paulo",Escola Estadual Professor Alberto Conte,-23.6499779,-46.7070714,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce505590f1b695:0x4b34ed58c6032f96!10e5,,school,Santo Amaro São Paulo
ChIJe2qRDUJezpQREPy-8m4zrCU,"R. Dr. Luís Carlos, 740 - Vila Aricanduva, São Paulo",EE Dona Zalina Rolim,-23.5352874,-46.5441993,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5e420d916a7b:0x25ac336ef2befc10!10e5,http://portalzalinarolim.blogspot.com.br/,school,Aricanduva São Paulo
ChIJebVPkK1nzpQRS1OLwx3T5-Y,"Av. Aricanduva, 11555 - Aricanduva, São Paulo",Cei Aricanduva,-23.5843629,-46.48882649999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce67ad904fb579:0xe6e7d31dc38b534b!10e5,,school,Aricanduva São Paulo
ChIJweaiSXhRzpQR2VvLwO60Ha0,"Av. Adolfo Pinheiro, 340 - Santo Amaro, São Paulo",Escola ZION - Santo Amaro,-23.6499153,-46.7039565,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce517849a2e6c1:0xad1db4eec0cb5bd9!10e5,http://escolazion.com/,school,Santo Amaro São Paulo
ChIJM231q2pezpQRiak0vDIpYvA,"R. Dr. Luís Carlos, 1400 - Vila Aricanduva, São Paulo",EE Profa. Marisa de Mello,-23.5340264,-46.53743559999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5e6aabf56d33:0xf0622932bc34a989!10e5,,school,Aricanduva São Paulo
ChIJc49N5IBnzpQRvlUK8doHbC4,"R. Américo Alves, 311 - Aricanduva, São Paulo",Educandário Anjinho Feliz,-23.5853097,-46.5146756,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6780e44d8f73:0x2e6c07daf10a55be!10e5,,school,Aricanduva São Paulo
ChIJj4AOamFnzpQR8qzYiQxo-Yo,"Av. Rio das Pedras, 2022 - Jardim Aricanduva, JARDIM",ESCOLA ESTADUAL PROFESSOR MOACYR CAMPOS (MOCAM),-23.5709441,-46.5076402,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce67616a0e808f:0x8af9680c89d8acf2!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/moacyr-campos-professor/,school,Aricanduva São Paulo
ChIJE3IE16BRzpQRlFWPvBUdp88,"Rua Comendador Elias Zarzur, 320 - Santo Amaro, São Paulo",Anglo Alante Chácara Santo Antonio,-23.6498701,-46.70045589999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce51a0d7047213:0xcfa71d15bc8f5594!10e5,http://www.angloalante.com.br/,school,Santo Amaro São Paulo
ChIJA9dDZ2tezpQRasI2b3qISqs,"Rua Frei Mont'Alverne, 445 - Vila Aricanduva, São Paulo",Colégio Bom Jesus Vicente Pallotti,-23.5366728,-46.5372688,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5e6b6743d703:0xab4a887a6f36c26a!10e5,https://bomjesus.br/unidades/?unidade=vicentepallotti,school,Aricanduva São Paulo
ChIJv_cUNvVdzpQR3ovZK5sJBqk,"Rua Antônio La Giudice, 580 - Jardim Aricanduva, São Paulo","ESC.PART. PRIMEIRAS LETRINHAS, E. E. I.",-23.5659458,-46.5113197,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5df53614f7bf:0xa906099b2bd98bde!10e5,,school,Aricanduva São Paulo
ChIJqzaUsWBnzpQRX3B2RpTceO4,"Av. Governador Adhemar Pereira de Barros, 133/145 - Jardim Aricanduva, São Paulo",BERÇÁRIO E EDUCAÇÃO INFANTIL PORTINHA ENCANTADA,-23.5634798,-46.511914,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6760b19436ab:0xee78dc944676705f!10e5,http://www.portinhaencantada.com.br/,school,Aricanduva São Paulo
ChIJ94Hh6lNQzpQRQ0v3ri9xIBY,"R. Sen. Fláquer, 198 - Santo Amaro, São Paulo",Colégio Sto Amaro,-23.6548549,-46.7054446,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5053eae181f7:0x1620712faef74b43!10e5,,school,Santo Amaro São Paulo
ChIJF3o3Ov9QzpQRwGYFvPJXSjw,"R. Cel. Luís Barroso, 390 - Santo Amaro, São Paulo",Colégio Paralelo,-23.6472285,-46.70485619999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce50ff3a377a17:0x3c4a57f2bc0566c0!10e5,http://paralelo.g12.br/,school,Santo Amaro São Paulo
ChIJAxe-O2FnzpQRbjm9-i0CnxE,"Av. Rio das Pedras, 1272 - Jardim Aricanduva, São Paulo",Wise Up Aricanduva,-23.5661482,-46.512273,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce67613bbe1703:0x119f022dfabd396e!10e5,,school,Aricanduva São Paulo
ChIJG_7Jeg1ezpQR0XRHzfzbSo0,"R. Lutécia, 1935 - Vila Carrão, São Paulo",Escolinha Do Corinthians Chute Inicial Aricanduva,-23.5602821,-46.5408448,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5e0d7ac9fe1b:0x8d4adbfccd4774d1!10e5,http://www.chuteinicialaricanduvacarrao.com/,school,Aricanduva São Paulo
ChIJ97G_bAdRzpQRU3_v_IFDgdk,"Av. Mário Lopes Leão, 1050 - Santo Amaro, São Paulo",E.E. Profª Maria Petronila Limeira dos Milagres Monteiro,-23.6511205,-46.71511170000001,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce51076cbfb1f7:0xd9814381fcef7f53!10e5,,school,Santo Amaro São Paulo
ChIJNT9V0W5nzpQRPVwjjrpYJ_k,"Av. Aricanduva, 5555 - Jardim Aricanduva, São Paulo",Wizard by Pearson Shopping Aricanduva,-23.5655275,-46.5010009,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce676ed1553f35:0xf92758ba8e235c3d!10e5,https://www.wizard.com.br/escolas/shoppingaricanduva/,school,Aricanduva São Paulo
ChIJfdgwRHFnzpQRJBKApdzz4rE,"Av. Olga Fadel Abarca, 125 - Jardim Santa Teresinha, São Paulo",Escola e berçário Cata-vento e Colégio Cv- Anos iniciais,-23.571079,-46.502754,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce67714430d87d:0xb1e2f3dca5801224!10e5,,school,Aricanduva São Paulo
ChIJAQAAqIJnzpQRAG819nRCnLo,"Praça Cândido Mendes de Almeida, 184 - Jardim Novo Carrao, São Paulo",EE Professora Aracy Leme da Veiga Ravache,-23.5803438,-46.5075952,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6782a8000001:0xba9c4274f6356f00!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/aracy-leme-da-veiga-ravache-professora/,school,Aricanduva São Paulo
ChIJO4XalzRnzpQR9n-U0wFEOrU,"R. Des. Rocha Portela, 464 - Vila Santa Teresa, São Paulo",EMEF Arthur Alvim,-23.5386052,-46.4934013,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce673497da853b:0xb53a4401d3947ff6!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=094030,school,Artur Alvim São Paulo
